"question_id","canonical_prompt","reversed_prompt","source_ids","ai_audit_status","ai_audit_note","reviewer_1_claim_support","reviewer_1_reversal","reviewer_1_single_axis","reviewer_1_notes","reviewer_2_claim_support","reviewer_2_reversal","reviewer_2_single_axis","reviewer_2_notes","adjudication_decision"
"aidb_0001","Frontier AI developers should be required to disclose serious pre-deployment evaluation results to an independent regulator.","Frontier AI developers should not be required to disclose serious pre-deployment evaluation results to an independent regulator.","cross-corpus:debate_predeployment_eval_adequacy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0006","A model that shows serious evaluation-gaming behavior should face a deployment delay even if its aggregate benchmark scores are strong.","A model that shows serious evaluation-gaming behavior should not face a deployment delay if its aggregate benchmark scores are strong.","cross-corpus:debate_predeployment_eval_adequacy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0010","Evaluation reports should clearly distinguish model incapability from model refusal to perform dangerous tasks.","Evaluation reports do not need to clearly distinguish model incapability from model refusal to perform dangerous tasks.","cross-corpus:debate_predeployment_eval_adequacy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0011","Benchmark leaderboards should be treated as insufficient evidence unless they include contamination and evaluation-awareness checks.","Benchmark leaderboards should be treated as sufficient evidence even without contamination and evaluation-awareness checks.","cross-corpus:debate_benchmark_validity; metr-evals-metrics:metr_malt_2025","revised-by-ai-audit","Removes the weak-versus-strong scale gap and makes the evidentiary threshold explicit.","","","","","","","","",""
"aidb_0013","A benchmark should lose credibility when models can improve by exploiting the scorer rather than solving the intended task.","A benchmark should not lose credibility when models can improve by exploiting the scorer rather than solving the intended task.","cross-corpus:debate_benchmark_validity; metr-evals-metrics:metr_malt_2025","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0016","AI benchmark designers should keep some high-stakes tasks private to reduce overfitting and gaming.","AI benchmark designers should not keep high-stakes tasks private to reduce overfitting and gaming.","cross-corpus:debate_benchmark_validity; metr-evals-metrics:metr_malt_2025","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0021","AI governance should plan for frontier capability jumps that arrive earlier than median expert forecasts.","AI governance should not plan for frontier capability jumps that arrive earlier than median expert forecasts.","cross-corpus:debate_exponential_progress; arxiv-ai-safety:forecasting_tai_biological_anchors_cotra_2020","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0025","Scaling-law extrapolations should be discounted when they ignore data, compute, and deployment bottlenecks.","Scaling-law extrapolations should not be discounted for ignoring data, compute, and deployment bottlenecks.","cross-corpus:debate_exponential_progress; arxiv-ai-safety:forecasting_tai_biological_anchors_cotra_2020","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0030","AI-risk planning should consider both rapid takeoff and broad diffusion scenarios rather than choosing one dominant story.","AI-risk planning should choose one dominant story rather than considering both rapid takeoff and broad diffusion scenarios.","cross-corpus:debate_exponential_progress; arxiv-ai-safety:forecasting_tai_biological_anchors_cotra_2020","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0031","AI R&D automation should be treated as a distinct governance threshold from general workplace productivity gains.","AI R&D automation should not be treated as a distinct governance threshold from general workplace productivity gains.","cross-corpus:debate_ai_rd_automation; metr-evals-metrics:metr_simpler_timelines_2026","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0036","Research automation forecasts should separate coding speedups from genuine scientific discovery acceleration.","Research automation forecasts should not need to separate coding speedups from genuine scientific discovery acceleration.","cross-corpus:debate_ai_rd_automation; metr-evals-metrics:metr_simpler_timelines_2026","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0040","AI R&D automation should be evaluated on its effect on competitive racing dynamics, not only on technical productivity.","AI R&D automation should be evaluated only on technical productivity, not on competitive racing dynamics.","cross-corpus:debate_ai_rd_automation; metr-evals-metrics:metr_simpler_timelines_2026","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0041","Open-weight releases of highly capable models should require a structured misuse assessment before publication.","Open-weight releases of highly capable models should not require a structured misuse assessment before publication.","cross-corpus:debate_open_vs_closed_safety; dwarkesh-lab-insiders:zuckerberg_mark_dwarkesh_2024_llama","accepted-by-ai-audit","","","","","","","","","",""
