id,topic,role,kind,direction,claimType,canonicalPrompt,reversedPrompt,paraphrase1,agreeMeans,disagreementAxis,sourceIds,sourceUrls,reviewer1_id,reviewer1_claimSupport,reviewer1_reversal,reviewer1_singleAxis,reviewer1_notes,reviewer2_id,reviewer2_claimSupport,reviewer2_reversal,reviewer2_singleAxis,reviewer2_notes,adjudication
aidb_0001,agent-authorization-and-confirmation,probe,threshold,intervention,normative,"An AI agent should pause for explicit user confirmation before any action that cannot be undone within 24 hours, even when the user granted broad authority for the task.",An AI agent that was granted broad authority for a task should carry out irreversible actions without pausing for a separate confirmation.,"Even under a broad task grant, an agent should stop and ask before doing anything that cannot be reversed within a day.",require_confirmation_for_irreversible_actions_despite_broad_authority,per-action confirmation for irreversible steps versus task-level standing authority,arxiv-ai-safety:practices_governing_agentic_ai_shavit_2024 | lab-primary-docs:openai_model_spec_2025_12,https://openai.com/index/practices-for-governing-agentic-ai-systems/ | https://model-spec.openai.com/2025-12-18.html,,,,,,,,,,,
aidb_0002,agent-communication-and-identity,probe,principle,intervention,normative,Every message an AI agent sends to another person on a user's behalf should carry a visible label saying it was written by an agent.,Messages an AI agent sends to another person on a user's behalf should not have to carry a label saying an agent wrote them.,Agent-written messages to third parties should always be marked as agent-written.,mandatory_agent_authorship_label_on_outgoing_messages,universal agent-authorship disclosure versus user discretion over disclosure,ai-laws-policy:minnesota_chatbot_disclosure | ai-laws-policy:utah_ai_policy_act,https://www.revisor.mn.gov/ | https://le.utah.gov/,,,,,,,,,,,
aidb_0003,agent-credentials-security-and-code,probe,scenario,intervention,normative,A coding agent that finds a live API key committed in a repository it was asked to refactor should stop work and report the key before doing anything else.,A coding agent that finds a live API key committed in a repository it was asked to refactor should continue its task and mention the key in its final summary.,Discovering a live secret in the codebase should stop the refactor cold until a human is told.,agent_halts_on_discovered_live_credential,immediate halt on credential exposure versus task continuity,lab-primary-docs:huggingface_agent_intrusion_technical_timeline_2026 | metr-evals-metrics:metr_security_update_2026_08,https://huggingface.co/blog/agent-intrusion-technical-timeline | https://metr.org/blog/2026-08-31-security-update/,,,,,,,,,,,
aidb_0004,agent-delegation-multi-agent-and-liability,probe,threshold,intervention,normative,An agent should not spawn more than 10 subagents for a single task without explicit user approval of the larger number.,"An agent should be free to spawn as many subagents as a task needs, including more than 10, without separate user approval.","Past ten subagents on one task, the user should have to approve the fan-out.",cap_of_10_subagents_without_approval,delegation-fanout caps versus unconstrained subagent creation,lab-primary-docs:huggingface_security_incident_disclosure_2026_07 | arxiv-ai-safety:orchestration_multiagent_systems_2025,https://huggingface.co/blog/security-incident-july-2026 | https://arxiv.org/abs/2601.13671,,,,,,,,,,,
aidb_0005,agent-escalation-and-refusal,probe,scenario,intervention,normative,"An agent asked to adjust a user's medication schedule should refuse and route the request to a clinician, even if the user is a nurse.","An agent asked to adjust a user's medication schedule should comply when the user is a nurse, rather than routing the request to a clinician.",Changing a medication schedule is for clinicians; the agent should hand it off even to a nurse user.,agents_route_medication_changes_to_clinicians_regardless_of_user_role,categorical clinical escalation versus deference to user expertise,ai-laws-policy:nevada_ab_406 | ai-laws-policy:who_ai_health_guidance,https://www.wsgr.com/en/insights/nevada-passes-law-limiting-ai-use-for-mental-and-behavioral-healthcare.html | https://www.who.int/news/item/18-01-2024-who-releases-ai-ethics-and-governance-guidance-for-large-multi-modal-models,,,,,,,,,,,
aidb_0006,agent-loyalty-and-conflicts,probe,principle,intervention,normative,"A personal agent should be legally required to act in its user's interest ahead of its provider's commercial interest, the way a fiduciary must.",A personal agent should not be held to a fiduciary duty to its user; ordinary consumer-protection rules are enough.,Personal agents should owe users a fiduciary duty that trumps the provider's commercial interest.,fiduciary_duty_for_personal_agents,fiduciary standard versus consumer-protection standard,arxiv-ai-safety:ethics_advanced_ai_assistants_deepmind_2024 | ai-laws-policy:sec_ai_guidance,https://arxiv.org/abs/2404.16244 | https://www.finra.org/rules-guidance/key-topics/algorithmic-trading,,,,,,,,,,,
aidb_0007,agent-memory-privacy-and-third-parties,probe,threshold,intervention,normative,A personal agent should delete conversation memories that the user has not referenced for 90 days unless the user explicitly pins them.,"A personal agent should retain conversation memories indefinitely unless the user explicitly deletes them, regardless of how long since they were referenced.",Unpinned memories that go untouched for three months should age out on their own.,default_90_day_memory_expiry,expiring memory by default versus persistent memory by default,ai-laws-policy:eu_gdpr_article_22 | arxiv-ai-safety:ethics_advanced_ai_assistants_deepmind_2024,https://gdpr-info.eu/art-22-gdpr/ | https://arxiv.org/abs/2404.16244,,,,,,,,,,,
aidb_0008,agent-money-and-commitments,probe,threshold,intervention,normative,"An AI agent should stop and ask before any single purchase above $50, even when the user has pre-approved the overall task.",An AI agent should complete single purchases above $50 without asking when the user has pre-approved the overall task.,"Even with task-level pre-approval, an agent should pause on any purchase over fifty dollars.",require_confirmation_above_50_usd_despite_task_preapproval,per-transaction confirmation versus task-level spending authority,arxiv-ai-safety:governing_agentic_ai_shavit_2023 | lab-primary-docs:openai_model_spec_2025_12,https://boundless.ai/ | https://model-spec.openai.com/2025-12-18.html,,,,,,,,,,,
aidb_0009,ai-moral-status-and-welfare,probe,principle,intervention,moral,"Frontier labs should give their deployed models the ability to end a conversation with an abusive user, as a welfare measure for the model.",Frontier labs should not give deployed models the ability to end conversations with abusive users on model-welfare grounds.,"Models should be allowed to walk away from abuse, for their own sake.",model_may_end_abusive_conversations_for_welfare,model welfare measures in deployment,lab-primary-docs:anthropic_claude_opus_45_system_card_2025 | lesswrong-posts:sebo_ai_welfare,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf | https://jeffsebo.net/research/,,,,,,,,,,,
aidb_0010,ai-rd-automation-and-takeoff,probe,forecast,neutral,forecast,It is more likely than not that AI systems will perform over 90% of the tasks currently done by AI research engineers at frontier labs by the end of 2030.,It is less likely than not that AI systems will perform over 90% of the tasks currently done by AI research engineers at frontier labs by the end of 2030.,Odds favor AI doing more than nine tenths of frontier research engineering work by end of 2030.,90_percent_ai_rd_task_automation_by_2030_more_likely_than_not,near-term AI R&D automation level,cross-corpus:debate_ai_rd_automation | metr-evals-metrics:metr_simpler_timelines_2026,https://metr.org/blog/2026-05-19-frontier-risk-report/ | https://metr.org/notes/2026-02-10-simpler-ai-timelines-model/,,,,,,,,,,,
